planet_name,default_flag,discovery_method,discovery_year,solution_type,pl_controv_flag,orbital_period_days,orbital_distance_au,planet_radius_earth,planet_mass_earth,planet_mass_jupiter,sy_dist
Kepler-238 c,1,Transit,2014,Published Confirmed,0,6.155557,0.069,2.39,,,1798.75
Kepler-238 d,1,Transit,2014,Published Confirmed,0,13.233549,0.115,3.07,,,1798.75
Kepler-238 e,1,Transit,2013,Published Confirmed,0,23.654,,5.6,169.7,0.534,1798.75
Kepler-238 f,1,Transit,2013,Published Confirmed,0,50.447,,2.0,13.5,0.042,1798.75
Kepler-239 b,1,Transit,2014,Published Confirmed,0,11.763051,0.095,2.33,,,648.109
Kepler-239 c,1,Transit,2014,Published Confirmed,0,56.228098,0.268,2.51,,,648.109
Kepler-24 b,1,Transit,2011,Published Confirmed,0,8.14,,2.348,11.14,0.03505036,1156.81
Kepler-24 c,1,Transit,2011,Published Confirmed,0,12.33,,2.514,9.99,0.03143206,1156.81
Kepler-24 d,1,Transit,2014,Published Confirmed,0,4.244384,0.051,1.67,,,1156.81
Kepler-24 e,1,Transit,2014,Published Confirmed,0,18.998355,0.138,2.78,,,1156.81
Kepler-240 b,1,Transit,2014,Published Confirmed,0,4.144495,0.048,1.37,,,746.927
Kepler-240 c,1,Transit,2014,Published Confirmed,0,7.953528,0.074,2.2,,,746.927
Kepler-241 b,1,Transit,2014,Published Confirmed,0,12.718092,0.094,2.33,,,
Kepler-241 c,1,Transit,2014,Published Confirmed,0,36.065978,0.189,2.57,,,
Kepler-242 b,1,Transit,2014,Published Confirmed,0,8.20395,0.075,2.61,,,600.241
Kepler-242 c,1,Transit,2014,Published Confirmed,0,14.496481,0.109,2.0,,,600.241
Kepler-243 b,1,Transit,2014,Published Confirmed,0,5.715442,0.062,2.45,,,693.86
Kepler-243 c,1,Transit,2014,Published Confirmed,0,20.026218,0.142,1.99,,,693.86
Kepler-244 b,1,Transit,2014,Published Confirmed,0,4.311792,0.05,2.76,,,1036.49
Kepler-244 c,1,Transit,2014,Published Confirmed,0,9.767292,0.087,2.05,,,1036.49
Kepler-244 d,1,Transit,2014,Published Confirmed,0,20.050401,0.14,2.31,,,1036.49
Kepler-245 b,1,Transit,2014,Published Confirmed,0,7.49019,0.071,2.57,,,861.527
Kepler-245 c,1,Transit,2014,Published Confirmed,0,17.460812,0.124,2.18,,,861.527
Kepler-245 d,1,Transit,2014,Published Confirmed,0,36.277108,0.202,3.03,,,861.527
Kepler-245 e,1,Transit,2016,Published Confirmed,0,3.219821056,,1.75,,,861.527
Kepler-246 b,1,Transit,2014,Published Confirmed,0,4.60182,0.052,2.34,,,626.078
Kepler-246 c,1,Transit,2014,Published Confirmed,0,11.187161,0.095,1.5,,,626.078
Kepler-247 b,1,Transit,2014,Published Confirmed,0,3.33616,0.042,1.64,,,663.711
Kepler-247 c,1,Transit,2014,Published Confirmed,0,9.439452,0.084,4.09,,,663.711
Kepler-247 d,1,Transit,2014,Published Confirmed,0,20.477912,0.14,3.94,,,663.711
Kepler-248 b,1,Transit,2014,Published Confirmed,0,6.308205,0.066,3.02,,,738.792
Kepler-248 c,1,Transit,2014,Published Confirmed,0,16.239494,0.123,4.07,,,738.792
Kepler-249 b,1,Transit,2014,Published Confirmed,0,3.306539,0.035,1.09,,,190.401
Kepler-249 c,1,Transit,2014,Published Confirmed,0,7.113702,0.058,1.51,,,190.401
Kepler-249 d,1,Transit,2014,Published Confirmed,0,15.368459,0.097,1.57,,,190.401
Kepler-25 b,1,Transit,2011,Published Confirmed,0,6.238297,,2.748,8.7,0.0275,243.249
Kepler-25 c,1,Transit,2011,Published Confirmed,0,12.7207,,5.217,15.2,0.0479,243.249
Kepler-25 d,1,Radial Velocity,2014,Published Confirmed,0,122.4,,,71.9,0.226,243.249
Kepler-250 b,1,Transit,2014,Published Confirmed,0,4.148141,0.048,1.13,,,760.585
Kepler-250 c,1,Transit,2014,Published Confirmed,0,7.156804,0.069,2.28,,,760.585
Kepler-250 d,1,Transit,2014,Published Confirmed,0,17.648312,0.127,2.18,,,760.585
Kepler-251 b,1,Transit,2014,Published Confirmed,0,4.790936,0.053,1.33,,,924.625
Kepler-251 c,1,Transit,2014,Published Confirmed,0,16.514043,0.122,2.77,,,924.625
Kepler-251 d,1,Transit,2014,Published Confirmed,0,30.133001,0.182,2.77,,,924.625
Kepler-251 e,1,Transit,2014,Published Confirmed,0,99.640161,0.404,2.77,,,924.625
Kepler-252 b,1,Transit,2014,Published Confirmed,0,6.668391,0.058,1.23,,,379.424
Kepler-252 c,1,Transit,2014,Published Confirmed,0,10.848463,0.08,2.15,,,379.424
Kepler-253 b,1,Transit,2014,Published Confirmed,0,3.783986,0.046,1.63,,,838.595
Kepler-253 c,1,Transit,2014,Published Confirmed,0,10.281951,0.089,2.65,,,838.595
Kepler-253 d,1,Transit,2014,Published Confirmed,0,18.119869,0.13,3.17,,,838.595
Kepler-254 b,1,Transit,2014,Published Confirmed,0,5.826662,0.064,3.87,,,1389.48
Kepler-254 c,1,Transit,2014,Published Confirmed,0,12.412183,0.105,2.15,,,1389.48
Kepler-254 d,1,Transit,2014,Published Confirmed,0,18.746477,0.139,2.5,,,1389.48
Kepler-255 b,1,Transit,2014,Published Confirmed,0,5.714606,0.063,1.55,,,1052.53
Kepler-255 c,1,Transit,2014,Published Confirmed,0,9.946047,0.092,2.99,,,1052.53
Kepler-255 d,1,Transit,2016,Published Confirmed,0,1.045622658,,1.32,,,1052.53
Kepler-256 b,1,Transit,2014,Published Confirmed,0,1.620493,0.027,1.59,,,1026.43
Kepler-256 c,1,Transit,2014,Published Confirmed,0,3.38802,0.045,2.15,,,1026.43
Kepler-256 d,1,Transit,2014,Published Confirmed,0,5.839172,0.064,2.48,,,1026.43
Kepler-256 e,1,Transit,2014,Published Confirmed,0,10.681572,0.096,2.35,,,1026.43
Kepler-257 b,1,Transit,2014,Published Confirmed,0,2.382667,0.034,2.61,,,780.256
Kepler-257 c,1,Transit,2014,Published Confirmed,0,6.581484,0.066,5.41,,,780.256
Kepler-257 d,1,Transit,2014,Published Confirmed,0,24.664551,0.16,4.95,,,780.256
Kepler-258 b,1,Transit,2014,Published Confirmed,0,13.19722,0.103,4.06,,,575.988
Kepler-258 c,1,Transit,2014,Published Confirmed,0,33.653079,0.193,3.61,,,575.988
Kepler-259 b,1,Transit,2014,Published Confirmed,0,8.115317,0.079,2.8,,,1002.14
Kepler-259 c,1,Transit,2014,Published Confirmed,0,36.924931,0.217,2.7,,,1002.14
Kepler-26 b,1,Transit,2011,Published Confirmed,0,12.28,,2.78,5.12,0.01610924,335.307
Kepler-26 c,1,Transit,2011,Published Confirmed,0,17.2559,,2.72,6.2,0.01950728,335.307
Kepler-26 d,1,Transit,2014,Published Confirmed,0,3.543919,0.039,1.07,,,335.307
Kepler-26 e,1,Transit,2014,Published Confirmed,0,46.827915,0.22,2.41,,,335.307
Kepler-260 b,1,Transit,2014,Published Confirmed,0,8.187399,0.075,2.01,,,627.365
Kepler-260 c,1,Transit,2014,Published Confirmed,0,76.050178,0.332,1.74,,,627.365
Kepler-261 b,1,Transit,2014,Published Confirmed,0,10.381227,0.088,2.18,,,317.499
Kepler-261 c,1,Transit,2014,Published Confirmed,0,24.570858,0.156,2.0,,,317.499
Kepler-262 b,1,Transit,2014,Published Confirmed,0,13.060855,0.108,1.36,,,613.129
Kepler-262 c,1,Transit,2014,Published Confirmed,0,21.853722,0.152,1.64,,,613.129
Kepler-263 b,1,Transit,2014,Published Confirmed,0,16.568087,0.12,2.67,,,754.747
Kepler-263 c,1,Transit,2014,Published Confirmed,0,47.332773,0.242,2.47,,,754.747
Kepler-264 b,1,Transit,2014,Published Confirmed,0,40.806231,0.249,3.33,,,942.173
Kepler-264 c,1,Transit,2014,Published Confirmed,0,140.101261,0.566,2.83,,,942.173
Kepler-265 b,1,Transit,2014,Published Confirmed,0,6.846262,0.069,1.86,,,1280.25
Kepler-265 c,1,Transit,2014,Published Confirmed,0,17.028937,0.127,2.63,,,1280.25
Kepler-265 d,1,Transit,2014,Published Confirmed,0,43.130617,0.236,2.49,,,1280.25
Kepler-265 e,1,Transit,2014,Published Confirmed,0,67.831024,0.319,2.59,,,1280.25
Kepler-266 b,1,Transit,2014,Published Confirmed,0,6.61833,0.071,2.48,,,1370.79
Kepler-266 c,1,Transit,2014,Published Confirmed,0,107.723601,0.457,3.89,,,1370.79
Kepler-267 b,1,Transit,2014,Published Confirmed,0,3.353728,0.037,1.98,,,264.993
Kepler-267 c,1,Transit,2014,Published Confirmed,0,6.87745,0.06,2.13,,,264.993
Kepler-267 d,1,Transit,2014,Published Confirmed,0,28.464515,0.154,2.27,,,264.993
Kepler-268 b,1,Transit,2014,Published Confirmed,0,25.934138,0.18,2.55,,,851.87
Kepler-268 c,1,Transit,2014,Published Confirmed,0,83.446393,0.391,3.38,,,851.87
Kepler-269 b,1,Transit,2014,Published Confirmed,0,5.326718,0.061,2.47,,,2257.32
Kepler-269 c,1,Transit,2014,Published Confirmed,0,8.127899,0.081,1.69,,,2257.32
Kepler-27 b,1,Transit,2011,Published Confirmed,0,15.3348,0.118,4.0,2895.31,9.11,1044.36
Kepler-27 c,1,Transit,2011,Published Confirmed,0,31.3309,0.191,4.9,4385.87,13.8,1044.36
Kepler-27 d,1,Transit,2021,Published Confirmed,0,6.546289921,,2.7061946,,,1044.36
Kepler-270 b,1,Transit,2014,Published Confirmed,0,11.476094,0.107,2.01,,,948.781
Kepler-270 c,1,Transit,2014,Published Confirmed,0,25.262887,0.18,1.77,,,948.781
Kepler-271 b,1,Transit,2014,Published Confirmed,0,10.43547805,,1.23,,,404.542
Kepler-271 c,1,Transit,2014,Published Confirmed,0,7.41086267,,0.95,,,404.542
Kepler-271 d,1,Transit,2016,Published Confirmed,0,5.24972541,,0.66,,,404.542
Kepler-272 b,1,Transit,2014,Published Confirmed,0,2.971353,0.038,1.43,,,889.608
Kepler-272 c,1,Transit,2014,Published Confirmed,0,6.057342,0.061,1.79,,,889.608
Kepler-272 d,1,Transit,2014,Published Confirmed,0,10.937304,0.091,2.25,,,889.608
Kepler-273 b,1,Transit,2014,Published Confirmed,0,2.936532,0.037,1.5,,,713.964
Kepler-273 c,1,Transit,2014,Published Confirmed,0,8.014927,0.073,1.98,,,713.964
Kepler-274 b,1,Transit,2014,Published Confirmed,0,11.634788,0.101,1.54,,,1333.62
Kepler-274 c,1,Transit,2014,Published Confirmed,0,33.197861,0.204,1.84,,,1333.62
Kepler-275 b,1,Transit,2014,Published Confirmed,0,10.300682,0.098,2.34,,,2034.25
Kepler-275 c,1,Transit,2014,Published Confirmed,0,16.088134,0.132,3.38,,,2034.25
Kepler-275 d,1,Transit,2014,Published Confirmed,0,35.676062,0.224,3.33,,,2034.25
Kepler-276 b,1,Transit,2014,Published Confirmed,0,14.12841,0.119,2.87,,,1144.86
Kepler-276 c,1,Transit,2013,Published Confirmed,0,31.884,,2.9,16.6,0.052,1144.86
Kepler-276 d,1,Transit,2013,Published Confirmed,0,48.648,,2.8,16.3,0.051,1144.86
Kepler-277 b,1,Transit,2013,Published Confirmed,0,17.324,,2.92,87.3,0.275,976.643
Kepler-277 c,1,Transit,2013,Published Confirmed,0,33.006,,3.36,64.2,0.202,976.643
Kepler-278 b,1,Transit,2014,Published Confirmed,0,30.1556,0.202,3.955,56.0,0.1761957,443.03
Kepler-278 c,1,Transit,2014,Published Confirmed,0,51.111,0.287,3.268,34.9,0.10980768,443.03
Kepler-279 b,1,Transit,2014,Published Confirmed,0,12.309681,0.112,3.62,,,1037.4
Kepler-279 c,1,Transit,2013,Published Confirmed,0,35.736,,4.3,49.4,0.155,1037.4
Kepler-279 d,1,Transit,2013,Published Confirmed,0,54.414,,3.1,37.5,0.118,1037.4
Kepler-279 e,1,Transit,2025,Published Confirmed,0,98.3531,,,56.0,0.1761957,1037.4
Kepler-28 b,1,Transit,2011,Published Confirmed,0,5.91,,1.959,1.63,0.00512855,438.359
Kepler-28 c,1,Transit,2011,Published Confirmed,0,8.99,,1.857,2.06,0.00648148,438.359
Kepler-280 b,1,Transit,2014,Published Confirmed,0,2.139542,0.032,1.45,,,780.361
Kepler-280 c,1,Transit,2014,Published Confirmed,0,4.807091,0.056,2.01,,,780.361
Kepler-281 b,1,Transit,2014,Published Confirmed,0,14.646008,0.117,2.82,,,1745.45
Kepler-281 c,1,Transit,2014,Published Confirmed,0,36.337373,0.215,5.31,,,1745.45
Kepler-281 d,1,Transit,2021,Published Confirmed,0,148.2720032,,5.93747806,,,1745.45
Kepler-282 b,1,Transit,2014,Published Confirmed,0,9.220524,0.082,1.01,,,1337.61
Kepler-282 c,1,Transit,2014,Published Confirmed,0,13.638723,0.106,1.2,,,1337.61
Kepler-282 d,1,Transit,2013,Published Confirmed,0,24.806,,2.46,61.0,0.192,1337.61
Kepler-282 e,1,Transit,2013,Published Confirmed,0,44.347,,3.1,56.2,0.177,1337.61
Kepler-283 b,1,Transit,2014,Published Confirmed,0,11.008151,0.082,2.13,,,468.094
Kepler-283 c,1,Transit,2014,Published Confirmed,0,92.743711,0.341,1.82,,,468.094
Kepler-284 b,1,Transit,2014,Published Confirmed,0,12.699149,0.104,2.24,,,1031.95
Kepler-284 c,1,Transit,2014,Published Confirmed,0,37.514456,0.213,2.61,,,1031.95
Kepler-285 b,1,Transit,2014,Published Confirmed,0,2.633867,0.036,1.34,,,824.31
Kepler-285 c,1,Transit,2014,Published Confirmed,0,6.186676,0.064,1.12,,,824.31
Kepler-286 b,1,Transit,2014,Published Confirmed,0,1.796302,0.027,1.24,,,1226.85
Kepler-286 c,1,Transit,2014,Published Confirmed,0,3.468095,0.042,1.37,,,1226.85
Kepler-286 d,1,Transit,2014,Published Confirmed,0,5.914323,0.061,1.33,,,1226.85
Kepler-286 e,1,Transit,2014,Published Confirmed,0,29.221289,0.176,1.77,,,1226.85
Kepler-287 b,1,Transit,2014,Published Confirmed,0,20.342199,0.145,2.33,,,835.86
Kepler-287 c,1,Transit,2014,Published Confirmed,0,44.851896,0.246,3.26,,,835.86
Kepler-288 b,1,Transit,2014,Published Confirmed,0,6.097326,0.065,1.67,,,1194.15
Kepler-288 c,1,Transit,2014,Published Confirmed,0,19.305772,0.14,2.85,,,1194.15
Kepler-288 d,1,Transit,2014,Published Confirmed,0,56.633742,0.287,2.67,,,1194.15
Kepler-289 b,1,Transit,2014,Published Confirmed,0,34.5383,,2.49,3.7,0.0116415,704.438
Kepler-289 c,1,Transit,2014,Published Confirmed,0,125.8723,,11.23,157.18,0.49,704.438
Kepler-289 d,1,Transit,2014,Published Confirmed,0,66.0282,,3.03,5.33,0.01677006,704.438
Kepler-289 e,1,Transit,2025,Published Confirmed,0,330.0716,,,17.4,0.05474652,704.438
Kepler-29 b,1,Transit,2011,Published Confirmed,0,10.33974,,2.55,5.0,0.01573168,832.532
Kepler-29 c,1,Transit,2011,Published Confirmed,0,13.28613,,2.34,4.5,0.01415851,832.532
Kepler-290 b,1,Transit,2014,Published Confirmed,0,14.589347,0.11,2.25,,,694.627
Kepler-290 c,1,Transit,2014,Published Confirmed,0,36.77031,0.205,2.7,,,694.627
Kepler-290 d,1,Transit,2023,Kepler Project Candidate (q1_q17_dr25_koi),0,0.764017553,0.0154,0.86,,,694.627
Kepler-291 b,1,Transit,2014,Published Confirmed,0,3.546511,0.047,2.16,,,1786.48
Kepler-291 c,1,Transit,2014,Published Confirmed,0,5.700786,0.065,1.88,,,1786.48
Kepler-292 b,1,Transit,2014,Published Confirmed,0,2.580827,0.035,1.32,,,1056.48
Kepler-292 c,1,Transit,2014,Published Confirmed,0,3.715335,0.045,1.47,,,1056.48
Kepler-292 d,1,Transit,2014,Published Confirmed,0,7.055679,0.068,2.23,,,1056.48
Kepler-292 e,1,Transit,2014,Published Confirmed,0,11.97901,0.097,2.67,,,1056.48
Kepler-292 f,1,Transit,2014,Published Confirmed,0,20.834237,0.141,2.35,,,1056.48
Kepler-293 b,1,Transit,2014,Published Confirmed,0,19.254196,0.144,3.07,,,974.633
Kepler-293 c,1,Transit,2014,Published Confirmed,0,54.155743,0.286,3.83,,,974.633
Kepler-294 b,1,Transit,2014,Published Confirmed,0,3.701212,0.048,1.77,,,1357.01
Kepler-294 c,1,Transit,2014,Published Confirmed,0,6.6264,0.071,2.71,,,1357.01
Kepler-295 b,1,Transit,2014,Published Confirmed,0,12.645164,0.099,1.22,,,1699.19
Kepler-295 c,1,Transit,2014,Published Confirmed,0,21.526258,0.142,1.17,,,1699.19
Kepler-295 d,1,Transit,2014,Published Confirmed,0,33.884054,0.192,1.36,,,1699.19
Kepler-296 b,1,Transit,2014,Published Confirmed,0,10.864384,0.079,1.61,,,
Kepler-296 c,1,Transit,2014,Published Confirmed,0,5.8416366,0.0521,2.0,,,
Kepler-296 d,1,Transit,2014,Published Confirmed,0,19.850291,0.118,2.09,,,
Kepler-296 e,1,Transit,2014,Published Confirmed,0,34.14211,0.169,1.53,,,
Kepler-296 f,1,Transit,2014,Published Confirmed,0,63.33627,0.255,1.8,,,
Kepler-297 b,1,Transit,2014,Published Confirmed,0,38.871826,0.217,2.87,,,692.14
Kepler-297 c,1,Transit,2014,Published Confirmed,0,74.920137,0.336,6.54,,,692.14
Kepler-297 d,1,Transit,2023,Kepler Project Candidate (q1_q17_dr25_koi),0,150.0189511,0.523,32.6,,,692.14
Kepler-298 b,1,Transit,2014,Published Confirmed,0,10.475464,0.08,1.96,,,518.204
Kepler-298 c,1,Transit,2014,Published Confirmed,0,22.92881,0.136,1.93,,,518.204
Kepler-298 d,1,Transit,2014,Published Confirmed,0,77.473633,0.305,2.5,,,518.204
Kepler-299 b,1,Transit,2014,Published Confirmed,0,2.927128,0.04,1.32,,,1052.24
Kepler-299 c,1,Transit,2014,Published Confirmed,0,6.885875,0.07,2.65,,,1052.24
Kepler-299 d,1,Transit,2014,Published Confirmed,0,15.054786,0.118,1.86,,,1052.24
Kepler-299 e,1,Transit,2014,Published Confirmed,0,38.285489,0.22,1.87,,,1052.24
Kepler-30 b,1,Transit,2012,Published Confirmed,0,29.33434,0.18,3.9,11.3,0.036,914.221
Kepler-30 c,1,Transit,2012,Published Confirmed,0,60.323105,0.3,12.3,640.0,2.01,914.221
Kepler-30 d,1,Transit,2012,Published Confirmed,0,143.34394,0.5,8.8,23.1,0.073,914.221
Kepler-300 b,1,Transit,2014,Published Confirmed,0,10.446347,0.094,1.67,,,1098.45
Kepler-300 c,1,Transit,2014,Published Confirmed,0,40.714955,0.232,2.25,,,1098.45
Kepler-301 b,1,Transit,2014,Published Confirmed,0,2.508553,0.036,1.35,,,719.166
Kepler-301 c,1,Transit,2014,Published Confirmed,0,5.419026,0.06,1.35,,,719.166
Kepler-301 d,1,Transit,2014,Published Confirmed,0,13.751243,0.112,1.75,,,719.166
Kepler-302 b,1,Transit,2014,Published Confirmed,0,30.184104,0.193,4.06,,,1402.58
Kepler-302 c,1,Transit,2014,Published Confirmed,0,127.282184,0.503,12.45,,,1402.58
Kepler-303 b,1,Transit,2014,Published Confirmed,0,1.937055,0.024,0.89,,,209.738
Kepler-303 c,1,Transit,2014,Published Confirmed,0,7.061149,0.057,1.14,,,209.738
Kepler-304 b,1,Transit,2014,Published Confirmed,0,3.295709,0.039,2.86,,,434.684
Kepler-304 c,1,Transit,2014,Published Confirmed,0,5.315946,0.054,2.17,,,434.684
Kepler-304 d,1,Transit,2014,Published Confirmed,0,9.653471,0.08,2.75,,,434.684
Kepler-304 e,1,Transit,2016,Published Confirmed,0,1.499146953,,1.2,,,434.684
Kepler-305 b,1,Transit,2013,Published Confirmed,0,5.487,,3.6,10.5,0.033,868.477
Kepler-305 c,1,Transit,2013,Published Confirmed,0,8.291,,3.3,6.0,0.019,868.477
Kepler-305 d,1,Transit,2014,Published Confirmed,0,16.74,,2.76,6.2,0.01950738,868.477
Kepler-305 e,1,Transit,2020,Published Confirmed,0,3.20538,,1.7938153,,,868.477
Kepler-306 b,1,Transit,2014,Published Confirmed,0,4.646186,0.05,1.52,,,775.679
Kepler-306 c,1,Transit,2014,Published Confirmed,0,7.240193,0.067,2.35,,,775.679
Kepler-306 d,1,Transit,2014,Published Confirmed,0,17.326644,0.12,2.47,,,775.679
Kepler-306 e,1,Transit,2014,Published Confirmed,0,44.840975,0.227,2.27,,,775.679
Kepler-307 b,1,Transit,2013,Published Confirmed,0,10.4208,,2.43,7.44,0.02340874,575.581
Kepler-307 c,1,Transit,2013,Published Confirmed,0,13.0729,,2.2,3.64,0.01145266,575.581
Kepler-308 b,1,Transit,2014,Published Confirmed,0,9.694928,0.09,2.12,,,1335.92
Kepler-308 c,1,Transit,2014,Published Confirmed,0,15.38231,0.123,2.16,,,1335.92
Kepler-309 b,1,Transit,2014,Published Confirmed,0,5.923653,0.059,1.56,,,544.568
Kepler-309 c,1,Transit,2014,Published Confirmed,0,105.356383,0.401,2.51,,,544.568
Kepler-31 b,1,Transit,2011,Published Confirmed,0,20.8613,0.16,5.5,,,1664.64
Kepler-31 c,1,Transit,2011,Published Confirmed,0,42.6318,0.26,5.3,1493.7,4.7,1664.64
Kepler-31 d,1,Transit,2014,Published Confirmed,0,87.6451,0.4,3.9,2161.244,6.8,1664.64
Kepler-310 b,1,Transit,2014,Published Confirmed,0,13.930698,0.111,1.19,,,602.268
Kepler-310 c,1,Transit,2014,Published Confirmed,0,56.47542,0.281,3.38,,,602.268
Kepler-310 d,1,Transit,2014,Published Confirmed,0,92.876125,0.392,2.47,,,602.268
Kepler-311 b,1,Transit,2014,Published Confirmed,0,9.176092,0.087,1.7,,,778.654
Kepler-311 c,1,Transit,2014,Published Confirmed,0,19.738286,0.145,1.43,,,778.654
Kepler-311 d,1,Transit,2023,Kepler Project Candidate (q1_q17_dr25_koi),0,232.040326,0.7326,2.05,,,778.654
Kepler-312 b,1,Transit,2014,Published Confirmed,0,1.772419,0.031,1.29,,,797.72
Kepler-312 c,1,Transit,2014,Published Confirmed,0,19.747412,0.153,3.15,,,797.72
Kepler-313 b,1,Transit,2014,Published Confirmed,0,14.970418,0.125,2.53,,,
Kepler-313 c,1,Transit,2014,Published Confirmed,0,32.273273,0.208,2.57,,,
Kepler-314 b,1,Transit,2014,Published Confirmed,0,2.461069,0.035,0.83,,,268.881
Kepler-314 c,1,Transit,2014,Published Confirmed,0,5.960392,0.064,2.9,,,268.881
Kepler-315 b,1,Transit,2014,Published Confirmed,0,96.101141,0.402,3.77,,,1160.63
Kepler-315 c,1,Transit,2014,Published Confirmed,0,265.469335,0.791,4.15,,,1160.63
Kepler-316 b,1,Transit,2014,Published Confirmed,0,2.240508,0.027,1.06,,,384.938
Kepler-316 c,1,Transit,2014,Published Confirmed,0,6.827766,0.058,1.16,,,384.938
Kepler-317 b,1,Transit,2014,Published Confirmed,0,5.524242,0.061,2.09,,,940.584
Kepler-317 c,1,Transit,2014,Published Confirmed,0,8.77501,0.083,1.72,,,940.584
Kepler-318 b,1,Transit,2014,Published Confirmed,0,4.662715,0.056,4.71,,,489.141
Kepler-318 c,1,Transit,2014,Published Confirmed,0,11.815007,0.105,3.68,,,489.141
Kepler-319 b,1,Transit,2014,Published Confirmed,0,4.362705,0.051,1.63,,,503.436
Kepler-319 c,1,Transit,2014,Published Confirmed,0,6.941357,0.069,2.63,,,503.436
Kepler-319 d,1,Transit,2014,Published Confirmed,0,31.781925,0.191,2.29,,,503.436
Kepler-32 b,1,Transit,2011,Published Confirmed,0,5.90124,0.05,2.2,1303.0,4.1,323.847
Kepler-32 c,1,Transit,2011,Published Confirmed,0,8.7522,0.09,2.0,158.9,0.5,323.847
Kepler-32 d,1,Transit,2012,Published Confirmed,0,22.7802,0.13,2.7,,,323.847
Kepler-32 e,1,Transit,2012,Published Confirmed,0,2.896,0.033,1.5,,,323.847
Kepler-32 f,1,Transit,2012,Published Confirmed,0,0.74296,0.013,0.82,,,323.847
Kepler-320 b,1,Transit,2014,Published Confirmed,0,8.371554,0.085,1.14,,,826.613
Kepler-320 c,1,Transit,2014,Published Confirmed,0,17.934937,0.142,1.37,,,826.613
Kepler-321 b,1,Transit,2014,Published Confirmed,0,4.915379,0.057,1.77,,,384.542
Kepler-321 c,1,Transit,2014,Published Confirmed,0,13.093921,0.11,2.32,,,384.542
Kepler-322 b,1,Transit,2014,Published Confirmed,0,1.653888,0.027,1.01,,,400.48
Kepler-322 c,1,Transit,2014,Published Confirmed,0,4.337234,0.051,1.67,,,400.48
Kepler-323 b,1,Transit,2014,Published Confirmed,0,1.678328,0.02778,1.381,3.9,0.01227077,454.883
Kepler-323 c,1,Transit,2014,Published Confirmed,0,3.5538229,0.0458,1.57,6.8,0.02139519,454.883
Kepler-324 b,1,Transit,2014,Published Confirmed,0,4.385315,0.05,1.14,,,501.574
Kepler-324 c,1,Transit,2014,Published Confirmed,0,51.805612,0.26,3.15,,,501.574
Kepler-324 e,1,Transit,2021,Published Confirmed,0,13.97939968,,2.03862444,,,501.574
Kepler-325 b,1,Transit,2014,Published Confirmed,0,4.544439,0.053,2.91,,,823.242
Kepler-325 c,1,Transit,2014,Published Confirmed,0,12.762172,0.105,2.54,,,823.242
Kepler-325 d,1,Transit,2014,Published Confirmed,0,38.715185,0.22,2.79,,,823.242
Kepler-326 b,1,Transit,2014,Published Confirmed,0,2.248329,0.032,1.52,,,487.675
Kepler-326 c,1,Transit,2014,Published Confirmed,0,4.580358,0.051,1.4,,,487.675
Kepler-326 d,1,Transit,2014,Published Confirmed,0,6.766888,0.066,1.21,,,487.675
Kepler-327 b,1,Transit,2014,Published Confirmed,0,2.549575,0.029,1.11,,,241.987
Kepler-327 c,1,Transit,2014,Published Confirmed,0,5.212333,0.047,1.03,,,241.987
Kepler-327 d,1,Transit,2014,Published Confirmed,0,13.969457,0.09,1.73,,,241.987
Kepler-328 b,1,Transit,2013,Published Confirmed,0,34.921,,2.3,28.5,0.09,2213.19
Kepler-328 c,1,Transit,2013,Published Confirmed,0,71.312,,5.4,39.4,0.124,2213.19
Kepler-329 b,1,Transit,2014,Published Confirmed,0,7.416397,0.061,1.4,,,439.719
Kepler-329 c,1,Transit,2014,Published Confirmed,0,18.684737,0.113,1.93,,,439.719
Kepler-33 b,1,Transit,2011,Published Confirmed,0,5.66793,0.0677,1.74,,,1209.16
Kepler-33 c,1,Transit,2011,Published Confirmed,0,13.17562,0.1189,3.2,,,1209.16
Kepler-33 d,1,Transit,2011,Published Confirmed,0,21.77596,0.1662,5.35,,,1209.16
Kepler-33 e,1,Transit,2011,Published Confirmed,0,31.7844,0.2138,4.02,,,1209.16
Kepler-33 f,1,Transit,2011,Published Confirmed,0,41.02902,0.2535,4.46,,,1209.16
Kepler-330 b,1,Transit,2014,Published Confirmed,0,8.25978,0.075,1.35,,,717.527
Kepler-330 c,1,Transit,2014,Published Confirmed,0,15.955387,0.116,1.95,,,717.527
Kepler-331 b,1,Transit,2014,Published Confirmed,0,8.457496,0.065,1.82,,,580.119
Kepler-331 c,1,Transit,2014,Published Confirmed,0,17.28111,0.105,1.84,,,580.119
Kepler-331 d,1,Transit,2014,Published Confirmed,0,32.134328,0.159,1.64,,,580.119
Kepler-332 b,1,Transit,2014,Published Confirmed,0,7.626324,0.07,1.17,,,344.19
Kepler-332 c,1,Transit,2014,Published Confirmed,0,15.995622,0.114,1.09,,,344.19
Kepler-332 d,1,Transit,2014,Published Confirmed,0,34.21154,0.189,1.18,,,344.19
Kepler-333 b,1,Transit,2014,Published Confirmed,0,12.551158,0.087,1.32,,,324.413
Kepler-333 c,1,Transit,2014,Published Confirmed,0,24.08821,0.135,1.11,,,324.413
Kepler-334 b,1,Transit,2014,Published Confirmed,0,5.470319,0.061,1.12,,,426.59
Kepler-334 c,1,Transit,2014,Published Confirmed,0,12.758005,0.107,1.43,,,426.59
